time,V(vi),V(vout)
9.699498319799719e-006,0.000000e+000,4.990471e+000
9.726641176942575e-006,0.000000e+000,4.991282e+000
9.753784034085432e-006,0.000000e+000,4.992030e+000
9.780926891228290e-006,0.000000e+000,4.992725e+000
9.808069748371146e-006,0.000000e+000,4.993366e+000
9.835212605514004e-006,0.000000e+000,4.993954e+000
9.862355462656861e-006,0.000000e+000,4.994489e+000
9.889498319799719e-006,0.000000e+000,4.994971e+000
9.916641176942575e-006,0.000000e+000,4.995399e+000
9.928452140082706e-006,0.000000e+000,4.995578e+000
9.940263103222836e-006,0.000000e+000,4.995750e+000
9.952074066362966e-006,0.000000e+000,4.995916e+000
9.963885029503096e-006,0.000000e+000,4.996076e+000
9.975695992643227e-006,0.000000e+000,4.996229e+000
9.987506955783357e-006,0.000000e+000,4.996376e+000
9.999317918923487e-006,0.000000e+000,4.996517e+000
9.999576108102017e-006,0.000000e+000,4.996521e+000
1.000000000000000e-005,-1.#QNAN0e+000,-1.#QNAN0e+000
